Release 9.1i - par J.30
Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

Wed Dec 04 17:43:34 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       cpu_map.ncd
OUTPUT FILE:      cpu_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -4
PACKAGE:          pq208

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name  |Pin Usage|Pin Name                 |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|DCI Value|IO Register|Signal Integrity|
|P196      |tempt<0>     |IOB      |IO_L13P_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P197      |             |DIFFS    |IO_L13N_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P198      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P199      |             |DIFFM    |IO_L14P_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P200      |             |DIFFS    |IO_L14N_0/VREF_0         |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P201      |             |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |         |           |                |
|P202      |             |DIFFM    |IO_L15P_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P203      |             |DIFFS    |IO_L15N_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P204      |             |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P205      |             |DIFFM    |IO_L16P_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P206      |             |DIFFS    |IO_L16N_0/HSWAP          |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P207      |             |         |TDI                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P208      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


